book,sham_total,total_words,per_1000_words,verses_with_repeated_sham
Gen,101,20614,4.9,13
Exo,32,16713,1.915,3
Lev,5,11950,0.418,0
Num,39,16413,2.376,3
Deu,82,14300,5.734,7
Josh,26,10051,2.587,0
Judg,39,9901,3.939,1
Ruth,6,1294,4.637,0
1 Sam,50,13323,3.753,8
2 Sam,40,11054,3.619,4
1 Kgs,43,13140,3.272,5
2 Kgs,58,12282,4.722,9
1 Chr,17,10774,1.578,1
2 Chr,23,13314,1.728,2
Ezra,6,3755,1.598,1
Neh,9,5319,1.692,1
Esth,0,3052,0.0,0
Job,10,8343,1.199,1
Psa,22,19595,1.123,0
Pro,4,6915,0.578,0
Ecc,7,2988,2.343,1
Song,0,0,0.0,0
Isa,34,16931,2.008,8
Jer,77,21835,3.526,7
Lam,0,1542,0.0,0
Ezek,68,18730,3.631,9
Dan,2,5920,0.338,0
Hos,8,2381,3.36,1
Joel,0,0,0.0,0
Amos,8,2042,3.918,3
Oba,1,291,3.436,0
Jon,1,688,1.453,0
Mic,3,1396,2.149,1
Nah,0,0,0.0,0
Hab,1,671,1.49,0
Zeph,1,767,1.304,0
Hag,1,600,1.667,0
Zech,1,3128,0.32,0
Mal,0,876,0.0,0
