armor_piece,strongs,reference,chapter,verse,greek_word,translation,introduced_in_ch6_v
Belt of Truth,G0225,Eph 1:13,1,13,"ἀληθείας,","of truth,",14
Belt of Truth,G0225,Eph 4:21,4,21,ἀλήθεια,[the] truth,14
Belt of Truth,G0225,Eph 4:24,4,24,ἀληθείας.¶,of truth.,14
Belt of Truth,G0225,Eph 4:25,4,25,ἀλήθειαν,truth,14
Belt of Truth,G0225,Eph 5:9,5,9,"ἀληθείᾳ,",in truth —,14
Breastplate of Righteousness,G1343,Eph 4:24,4,24,δικαιοσύνῃ,righteousness,14
Breastplate of Righteousness,G1343,Eph 5:9,5,9,δικαιοσύνῃ,in righteousness,14
Helmet of Salvation,G4991,Eph 1:13,1,13,σωτηρίας,salvation,17
Prayer,G4335,Eph 1:16,1,16,προσευχῶν,prayers,18
Shield of Faith,G4102,Eph 1:15,1,15,πίστιν,faith,16
Shield of Faith,G4102,Eph 2:8,2,8,"πίστεως,","faith,",16
Shield of Faith,G4102,Eph 3:12,3,12,πίστεως,faith,16
Shield of Faith,G4102,Eph 3:17,3,17,πίστεως,faith,16
Shield of Faith,G4102,Eph 4:5,4,5,"πίστις,","faith,",16
Shield of Faith,G4102,Eph 4:13,4,13,πίστεως,faith,16
Shoes — Gospel of Peace,G1515,Eph 1:2,1,2,εἰρήνη,peace,15
Shoes — Gospel of Peace,G2098,Eph 1:13,1,13,εὐαγγέλιον,gospel,15
Shoes — Gospel of Peace,G1515,Eph 2:14,2,14,εἰρήνη,peace,15
Shoes — Gospel of Peace,G1515,Eph 2:15,2,15,"εἰρήνην,","peace,",15
Shoes — Gospel of Peace,G1515,Eph 2:17,2,17,εἰρήνην,peace,15
Shoes — Gospel of Peace,G1515,Eph 2:17,2,17,εἰρήνην,peace,15
Shoes — Gospel of Peace,G2098,Eph 3:6,3,6,"εὐαγγελίου,","gospel,",15
Shoes — Gospel of Peace,G1515,Eph 4:3,4,3,"εἰρήνης,","of peace,",15
Sword — Word of God,G4487,Eph 5:26,5,26,"ῥήματι,",declaration,17
