book,total_verses,sin_vocab_verses,pct_verses
Matthew,1071,23.0,2.1475
Mark,678,18.0,2.6549
Luke,1151,38.0,3.3015
John,878,22.0,2.5057
Acts,1007,13.0,1.291
Romans,430,64.0,14.8837
1 Cor,437,11.0,2.5172
2 Cor,255,5.0,1.9608
Galatians,149,7.0,4.698
Ephesians,155,5.0,3.2258
Philippians,102,0.0,0.0
Colossians,95,3.0,3.1579
1 Thess,89,1.0,1.1236
2 Thess,47,5.0,10.6383
1 Timothy,113,6.0,5.3097
2 Timothy,83,2.0,2.4096
Titus,46,2.0,4.3478
Philemon,25,0.0,0.0
Hebrews,303,30.0,9.901
James,108,9.0,8.3333
1 Peter,105,7.0,6.6667
2 Peter,61,6.0,9.8361
1 John,105,16.0,15.2381
2 John,13,0.0,0.0
3 John,14,0.0,0.0
Jude,25,1.0,4.0
Revelation,404,4.0,0.9901
