ot_ref,book_id,chapter,verse,category,nt_fulfillment,book_name
Gen 3:15,Gen,3,15,Lineage & Identity,Offspring of woman crushing serpent — Gal 4:4; Rev 12,Genesis
Gen 12:3,Gen,12,3,Lineage & Identity,All nations blessed in Abraham's seed — Acts 3:25; Gal 3:16,Genesis
Gen 17:19,Gen,17,19,Lineage & Identity,Through Isaac — Luke 3:34; Gal 4:28,Genesis
Gen 49:10,Gen,49,10,Lineage & Identity,Scepter from Judah — Matt 1:2–3; Heb 7:14; Rev 5:5,Genesis
Num 24:17,Num,24,17,Lineage & Identity,Star out of Jacob — Matt 2:2; Rev 22:16,Numbers
2 Sam 7:12,2Sa,7,12,Lineage & Identity,"Son of David, eternal throne — Luke 1:32–33; Acts 13:22–23",2 Samuel
2 Sam 7:13,2Sa,7,13,Lineage & Identity,His kingdom established forever — Heb 1:5; Acts 2:30,2 Samuel
2 Sam 7:16,2Sa,7,16,Lineage & Identity,House and kingdom established forever — Luke 1:32,2 Samuel
Psa 2:2,Psa,2,2,Lineage & Identity,The LORD's Anointed — Acts 4:26,Psalms
Psa 2:7,Psa,2,7,Lineage & Identity,"""Thou art my Son"" — Acts 13:33; Heb 1:5; 5:5",Psalms
Psa 89:3-4,Psa,89,3,Lineage & Identity,Covenant with David; seed forever — Acts 2:30; 13:23,Psalms
Psa 110:1,Psa,110,1,Lineage & Identity,"""Sit at my right hand"" — Matt 22:44; Acts 2:34; Heb 1:13",Psalms
Psa 110:4,Psa,110,4,Lineage & Identity,Priest forever after Melchizedek — Heb 5:6; 6:20; 7:17,Psalms
Isa 9:6,Isa,9,6,Lineage & Identity,"Son given; Wonderful Counselor, Mighty God — Luke 1:31–33",Isaiah
Isa 11:1,Isa,11,1,Lineage & Identity,Branch from Jesse — Rom 15:12; Rev 5:5; 22:16,Isaiah
Isa 11:2,Isa,11,2,Lineage & Identity,Spirit of the LORD rests on him — Matt 3:16; John 1:32,Isaiah
Jer 23:5,Jer,23,5,Lineage & Identity,Righteous Branch for David — Luke 1:32; Acts 13:23,Jeremiah
Jer 33:15,Jer,33,15,Lineage & Identity,Branch of righteousness for David — Luke 1:32,Jeremiah
Mic 5:2,Mic,5,2,Lineage & Identity,Ruler from Bethlehem; goings forth from everlasting — Matt 2:6,Micah
Zec 3:8,Zec,3,8,Lineage & Identity,"""My servant the Branch"" — John 10:11; Rev 5:5",Zechariah
Zec 6:12,Zec,6,12,Lineage & Identity,The man whose name is Branch — John 10:11,Zechariah
Isa 7:14,Isa,7,14,Birth & Early Life,"Virgin conceives, bears Immanuel — Matt 1:22–23",Isaiah
Mic 5:2,Mic,5,2,Birth & Early Life,Born in Bethlehem — Matt 2:6; Luke 2:4–7,Micah
Hos 11:1,Hos,11,1,Birth & Early Life,"""Out of Egypt I called my son"" — Matt 2:15",Hosea
Jer 31:15,Jer,31,15,Birth & Early Life,Rachel weeping for her children — Matt 2:17–18,Jeremiah
Isa 40:3,Isa,40,3,Birth & Early Life,"Voice in wilderness, prepare the way — Matt 3:3; John 1:23",Isaiah
Mal 3:1,Mal,3,1,Birth & Early Life,Messenger to prepare the way — Matt 11:10; Mark 1:2; Luke 7:27,Malachi
Mal 4:5,Mal,4,5,Birth & Early Life,Elijah to come before — Matt 11:14; 17:10–12; Luke 1:17,Malachi
Isa 9:1-2,Isa,9,1,Birth & Early Life,"Light to Galilee, land of shadow — Matt 4:14–16",Isaiah
Psa 40:7-8,Psa,40,7,Ministry & Mission,"""I come to do your will"" — Heb 10:7",Psalms
Psa 78:2,Psa,78,2,Ministry & Mission,Teaching in parables — Matt 13:35,Psalms
Isa 42:1,Isa,42,1,Ministry & Mission,Servant; Spirit upon him — Matt 12:18–21,Isaiah
Isa 42:2-3,Isa,42,2,Ministry & Mission,Will not cry out; bruised reed not broken — Matt 12:19–20,Isaiah
Isa 42:6,Isa,42,6,Ministry & Mission,"Light to the nations, covenant for the people — Luke 2:32; Acts 13:47",Isaiah
Isa 49:6,Isa,49,6,Ministry & Mission,"Light for the Gentiles, salvation to the ends — Acts 13:47; 26:23",Isaiah
Isa 50:4,Isa,50,4,Ministry & Mission,The well-taught tongue; instructed — John 7:16; 8:28,Isaiah
Isa 61:1,Isa,61,1,Ministry & Mission,Spirit anointed; preach good news — Luke 4:18–19,Isaiah
Isa 61:2,Isa,61,2,Ministry & Mission,"Year of the LORD's favor — Luke 4:19, 21",Isaiah
Zec 9:9,Zec,9,9,Ministry & Mission,"King comes lowly, riding a donkey — Matt 21:4–5; John 12:14–15",Zechariah
Psa 118:22,Psa,118,22,Ministry & Mission,Stone the builders rejected becomes cornerstone — Matt 21:42; 1 Pet 2:7,Psalms
Psa 118:26,Psa,118,26,Ministry & Mission,"""Blessed is he who comes"" — Matt 21:9; 23:39",Psalms
Isa 28:16,Isa,28,16,Ministry & Mission,Cornerstone in Zion — Rom 9:33; 1 Pet 2:6,Isaiah
Psa 69:9,Psa,69,9,Ministry & Mission,Zeal for your house consumes me — John 2:17; Rom 15:3,Psalms
Isa 53:4,Isa,53,4,Ministry & Mission,He bore our infirmities — Matt 8:17,Isaiah
Dan 9:25,Dan,9,25,Ministry & Mission,Seven weeks to the Anointed One — Luke 19:44; Dan 9:26,Daniel
Zec 11:12,Zec,11,12,Ministry & Mission,Thirty pieces of silver — Matt 26:15; 27:9,Zechariah
Zec 11:13,Zec,11,13,Ministry & Mission,Silver cast into house of the LORD — Matt 27:9–10,Zechariah
Psa 41:9,Psa,41,9,Entry & Passion,Betrayed by close friend — John 13:18; 17:12,Psalms
Zec 13:7,Zec,13,7,Entry & Passion,"""Strike the shepherd, scatter the sheep"" — Matt 26:31; Mark 14:27",Zechariah
Isa 50:6,Isa,50,6,Entry & Passion,Back to smiters; spitting on face — Matt 26:67; 27:26,Isaiah
Psa 22:7,Psa,22,7,Entry & Passion,"Scorned, mocked, surrounded — Matt 27:39–44",Psalms
Psa 22:8,Psa,22,8,Entry & Passion,"""He trusted in the LORD; let him deliver"" — Matt 27:43",Psalms
Isa 53:3,Isa,53,3,Entry & Passion,Despised and rejected; man of sorrows — John 1:11; 7:5,Isaiah
Isa 53:7,Isa,53,7,Entry & Passion,Led as lamb to slaughter; did not open mouth — Acts 8:32–33,Isaiah
Psa 69:21,Psa,69,21,Entry & Passion,"Gall for food; vinegar to drink — Matt 27:34, 48; John 19:29",Psalms
Psa 109:4,Psa,109,4,Entry & Passion,Prayed for those who accuse — Luke 23:34,Psalms
Isa 53:12,Isa,53,12,Entry & Passion,Numbered with transgressors — Luke 22:37; Mark 15:28,Isaiah
Psa 22:1,Psa,22,1,Death & Burial,"""My God, my God, why hast thou forsaken me"" — Matt 27:46; Mark 15:34",Psalms
Psa 22:16,Psa,22,16,Death & Burial,Hands and feet pierced — John 20:25; Luke 24:39,Psalms
Psa 22:17,Psa,22,17,Death & Burial,Can count all my bones; stare and gloat — John 19:36,Psalms
Psa 22:18,Psa,22,18,Death & Burial,Divide garments; cast lots for clothing — Matt 27:35; John 19:24,Psalms
Psa 34:20,Psa,34,20,Death & Burial,Not one bone broken — John 19:36,Psalms
Zec 12:10,Zec,12,10,Death & Burial,"""They shall look on me whom they have pierced"" — John 19:37; Rev 1:7",Zechariah
Isa 53:5,Isa,53,5,Death & Burial,"Wounded for our transgressions, bruised for iniquities — Rom 5:6; 1 Pet 2:24",Isaiah
Isa 53:6,Isa,53,6,Death & Burial,Iniquity of us all laid on him — 1 Pet 2:25; 2 Cor 5:21,Isaiah
Isa 53:8,Isa,53,8,Death & Burial,Cut off from the land of the living — Acts 8:33,Isaiah
Isa 53:9,Isa,53,9,Death & Burial,Grave with the wicked; with the rich in his death — Matt 27:57–60,Isaiah
Isa 53:10,Isa,53,10,Death & Burial,It pleased the LORD to bruise him — Acts 2:23; 4:28,Isaiah
Isa 53:11,Isa,53,11,Death & Burial,By his knowledge my righteous servant shall justify many — Rom 5:19,Isaiah
Psa 69:4,Psa,69,4,Death & Burial,Hated without cause — John 15:25,Psalms
Amos 8:9,Amo,8,9,Death & Burial,Sun goes dark at noon — Matt 27:45; Luke 23:44,Amos
Psa 16:10,Psa,16,10,Resurrection & Exaltation,"""Not leave my soul in Sheol; not see corruption"" — Acts 2:27, 31; 13:35",Psalms
Psa 16:11,Psa,16,11,Resurrection & Exaltation,"""Path of life; fullness of joy"" — Acts 2:28",Psalms
Psa 2:8,Psa,2,8,Resurrection & Exaltation,Nations given as inheritance — Rom 4:13; Rev 2:27; 12:5,Psalms
Psa 68:18,Psa,68,18,Resurrection & Exaltation,"Ascended on high, led captivity captive — Eph 4:8",Psalms
Isa 53:10,Isa,53,10,Resurrection & Exaltation,He shall see his seed; prolong his days — 1 Cor 15:4,Isaiah
Isa 53:12,Isa,53,12,Resurrection & Exaltation,Receive a portion with the great — Phil 2:9–11,Isaiah
Dan 7:13,Dan,7,13,Resurrection & Exaltation,Son of Man coming on clouds — Matt 26:64; Acts 1:9; Rev 1:13,Daniel
Dan 7:14,Dan,7,14,Resurrection & Exaltation,All peoples serve him; everlasting dominion — Phil 2:10; Rev 11:15,Daniel
Psa 110:1,Psa,110,1,Resurrection & Exaltation,"""Sit at my right hand"" — Acts 2:34–35; Heb 1:13; 1 Cor 15:25",Psalms
Zec 9:10,Zec,9,10,Resurrection & Exaltation,His dominion from sea to sea — Luke 1:32–33; Eph 1:20–22,Zechariah
Hab 2:3,Hab,2,3,Resurrection & Exaltation,"""He who is coming will come and will not delay"" — Heb 10:37",Habakkuk
Mal 3:1,Mal,3,1,Resurrection & Exaltation,Lord suddenly comes to his temple — Mark 11:15–17; Luke 19:45,Malachi
